date;num0;num1;num2;num3;num4
06/03/2021;11;22;3;13;30
03/03/2021;38;8;41;49;19
01/03/2021;4;14;21;47;8
27/02/2021;4;29;42;43;11
24/02/2021;47;18;41;10;19
22/02/2021;3;37;26;15;24
20/02/2021;21;36;19;39;49
17/02/2021;34;31;35;41;29
15/02/2021;13;22;17;6;12
13/02/2021;13;17;31;28;9
10/02/2021;44;13;29;15;33
08/02/2021;19;10;9;29;5
06/02/2021;44;42;15;9;47
03/02/2021;17;31;26;37;21
01/02/2021;1;18;45;17;21
30/01/2021;17;5;33;9;37
27/01/2021;27;44;25;23;6
25/01/2021;13;31;49;7;3
23/01/2021;1;19;13;24;48
20/01/2021;21;11;22;40;32
18/01/2021;5;43;10;48;25
16/01/2021;44;20;14;22;36
13/01/2021;32;42;30;17;41
11/01/2021;33;46;8;17;1
09/01/2021;49;12;27;11;7
06/01/2021;41;21;32;47;11
04/01/2021;31;39;30;49;19
02/01/2021;5;27;7;24;41
30/12/2020;36;20;13;31;38
28/12/2020;41;34;42;22;1
26/12/2020;31;3;40;35;2
23/12/2020;5;3;39;31;38
21/12/2020;10;31;36;37;44
19/12/2020;30;29;49;23;10
16/12/2020;21;6;41;17;16
14/12/2020;47;48;13;34;2
12/12/2020;14;31;9;45;23
09/12/2020;47;17;48;39;24
07/12/2020;45;27;48;4;38
05/12/2020;34;20;14;35;9
02/12/2020;23;14;40;46;27
30/11/2020;28;9;26;29;18
28/11/2020;9;25;2;47;35
25/11/2020;1;26;14;31;10
23/11/2020;15;20;12;6;1
21/11/2020;49;17;44;5;46
18/11/2020;28;11;14;43;41
16/11/2020;7;47;16;33;42
14/11/2020;40;26;17;24;43
11/11/2020;15;17;10;37;16
09/11/2020;26;18;41;38;5
07/11/2020;45;5;48;42;30
04/11/2020;29;10;16;14;9
02/11/2020;42;43;38;33;31
31/10/2020;22;35;9;28;13
28/10/2020;25;43;30;2;19
26/10/2020;33;7;8;12;22
24/10/2020;8;25;4;12;45
21/10/2020;35;48;33;21;15
19/10/2020;7;35;48;28;25
17/10/2020;28;23;24;9;20
14/10/2020;19;42;32;26;39
12/10/2020;18;7;21;42;11
10/10/2020;48;26;31;47;42
07/10/2020;17;30;6;49;19
05/10/2020;6;22;19;5;9
03/10/2020;31;36;9;33;18
30/09/2020;26;24;49;32;2
28/09/2020;33;22;44;6;35
26/09/2020;4;31;49;8;39
23/09/2020;11;5;25;23;33
21/09/2020;46;41;38;19;16
19/09/2020;33;42;27;46;32
16/09/2020;28;19;49;23;17
